pmcid	score
3712160	0.16171753
2790183	0.14446835
3572682	0.14290589
1151650	0.13542199
3430116	0.13374037
3856285	0.13201202
3888001	0.1319686
3328892	0.13099593
1592293	0.1264512
3335538	0.126262
3011308	0.12436437
3555576	0.1229468
2984361	0.121891275
2678974	0.121095404
2760694	0.12017103
2721934	0.119384676
2801475	0.1191648
3366320	0.11761181
3368748	0.1173991
1824728	0.11699596
3500825	0.11662721
3505433	0.11627785
3435926	0.1153061
3424789	0.11515827
3437809	0.11431429
2636749	0.11398586
3129103	0.11394702
2984347	0.11345442
183865	0.11344077
2726500	0.11325364
2653043	0.11287974
3734632	0.11260674
2672237	0.11253022
3582057	0.1112929
2776372	0.11124638
2657286	0.110448375
2780638	0.11025962
3037981	0.109360926
3679768	0.10907677
2572041	0.10883213
3638545	0.10844893
3679814	0.10819125
2890888	0.107808515
3518713	0.10743671
2896582	0.10699637
2954406	0.10625343
3836935	0.10595269
1586188	0.10489979
3440507	0.10474521
3451906	0.10361994
3031010	0.10284864
3213721	0.10272837
3369462	0.1025753
3696212	0.10241245
2827053	0.102322474
2517059	0.10223457
3079137	0.10214047
3128593	0.10139302
2700440	0.101098284
3891316	0.10096431
2900165	0.10091104
3480136	0.10038724
3596579	0.100095876
3746435	0.09965019
3655106	0.099403225
3760668	0.099171385
2990395	0.098927006
2929215	0.09766052
2941056	0.09745359
2556664	0.09727588
3230011	0.09722019
1570135	0.097053595
2494540	0.09693682
3665675	0.09689293
3174928	0.09658036
2642787	0.096569836
2882890	0.09656306
2288610	0.09626858
60652	0.09608411
3785339	0.09599236
3252504	0.09594906
3085970	0.09577139
3398075	0.09570137
2944860	0.095496684
2917397	0.094959356
3445096	0.09472475
3085068	0.09430487
3152527	0.094282806
3612759	0.09412814
2848063	0.09399012
2895230	0.0937409
3249330	0.09350066
3335656	0.09343638
3266527	0.093389265
3325009	0.09292082
3180178	0.092588246
1112595	0.09246366
3555597	0.09199069
3175444	0.09187506
2794284	0.09148693
3855931	0.09137095
2639563	0.09130917
2684210	0.09081899
3820203	0.090692274
3345222	0.090371326
3785158	0.090270236
2841070	0.08992259
2855451	0.08990164
3406274	0.08988517
3822029	0.08971619
1458326	0.08948064
3043584	0.08926204
2913565	0.08914152
3257462	0.08906939
3830275	0.088883534
3152170	0.08875509
3876310	0.08853213
2727312	0.08829932
3391847	0.08819187
3476194	0.08816199
1963453	0.088061504
2575206	0.087832175
3520181	0.0877874
3668800	0.087712765
2922325	0.08727635
3205361	0.087190636
2771796	0.0869679
3623460	0.086915046
3439985	0.08683331
3541161	0.08641283
3611086	0.08612115
3851743	0.086081
2783087	0.08594486
3015800	0.085859306
3599449	0.08570438
3557580	0.085659616
2806544	0.085658826
3805168	0.085484624
3129061	0.08547479
3409612	0.08506342
3843570	0.085006155
3216903	0.08489732
3557637	0.08489153
3265073	0.084866345
3725440	0.08463649
2672273	0.08452483
3829292	0.08446255
3633377	0.084449165
2827076	0.08443454
1824744	0.084410265
3459714	0.08440128
3038627	0.084172055
3355001	0.084129825
2912127	0.08381922
3377034	0.08376222
3391591	0.08367981
2825131	0.08361176
3044014	0.08358285
3673379	0.08354955
2129146	0.08344291
3604226	0.08335966
2769324	0.08328052
140012	0.08314814
3293000	0.08297704
2769286	0.08292171
3082674	0.08287479
1855694	0.08277509
3813461	0.082678184
3611104	0.082599565
3236151	0.08255049
3125218	0.08243098
3485486	0.08230284
3522328	0.08223997
3015846	0.0820972
2840961	0.08207099
3002374	0.08206228
3047842	0.08197017
3375193	0.08175167
3318207	0.08150214
2778823	0.08128476
3452147	0.08127158
3015416	0.08125007
2416450	0.08125004
3087430	0.08121517
3249850	0.08118214
3770043	0.08116646
3350092	0.08108444
3862250	0.081039846
1193543	0.08103722
2045657	0.080986485
2672280	0.08089596
3546249	0.08083559
3693650	0.08068222
2443117	0.08065953
3258019	0.08062233
3317136	0.08059573
3103445	0.08031007
2726553	0.08028208
3038794	0.08025327
2997507	0.080156684
3248865	0.08008041
3622306	0.08007256
3542938	0.08005581
3580936	0.07991161
3170783	0.07979251
2838812	0.079777546
1592487	0.07969033
3876687	0.07967372
2738416	0.07961707
3239016	0.079493135
3406277	0.079423785
3743330	0.07930772
2244618	0.0792839
2686872	0.079180785
3467797	0.07915721
3551419	0.0791308
3619046	0.079092175
3830316	0.079004206
3808802	0.07896054
2335113	0.07891671
3476012	0.07887784
3884184	0.07864506
2909175	0.07863958
3809224	0.078181624
2532955	0.07818146
3389875	0.07817715
1180830	0.07816667
3687060	0.07811518
3369412	0.07811252
3536576	0.07803707
3096317	0.07799063
3425864	0.0779195
3329702	0.07790583
3495043	0.07787974
3227226	0.07766147
3214567	0.07765499
2886244	0.077597186
3483324	0.07752875
3713330	0.07741884
2628868	0.07733785
2933634	0.0772617
2429898	0.07725972
3485580	0.077237405
1145137	0.077174515
3184045	0.07716487
2522257	0.077125326
3359437	0.07704465
3529718	0.07687839
2689449	0.07674196
3035604	0.07665372
3636828	0.07663466
2699201	0.076517425
3122596	0.07646543
3708267	0.07640155
3385591	0.076288916
3629249	0.076267876
3015350	0.07623393
2584009	0.07618944
3433013	0.076173104
3189914	0.076172575
3096430	0.0759546
3704920	0.075914964
3600137	0.07588699
3872388	0.075885944
3833498	0.075869046
3124686	0.07583932
3401880	0.075811625
3149144	0.07578364
3309452	0.07575572
2846340	0.07563493
3132663	0.0756137
3735877	0.07559373
2791725	0.075579114
3444002	0.075500295
3841284	0.075457886
3015516	0.07543613
2941921	0.07543582
2671752	0.07540284
3543206	0.075342245
1544332	0.07527559
3666332	0.07526732
3561741	0.0752075
2913845	0.075201586
3217879	0.07514292
3258729	0.07512276
3622393	0.07509243
3033147	0.074996985
3626394	0.074492514
3221745	0.07447599
3198947	0.074470215
3451760	0.07441272
3829277	0.074362844
2904793	0.07432996
2503962	0.07428957
2840543	0.07428955
3542201	0.07422359
3853610	0.07418229
3521621	0.07413875
3555585	0.074110456
2998658	0.07410966
3857978	0.07409372
2983030	0.0740647
2948152	0.07405574
2723097	0.07404564
3150268	0.07394597
2815840	0.073896855
3369420	0.073884286
3586460	0.07385145
2988179	0.07376748
3658340	0.07372502
3369124	0.073723346
3339730	0.07369549
3021334	0.07369184
3529422	0.07364793
2936924	0.07363925
2169208	0.07360792
1824747	0.07359879
3853387	0.073542744
3784075	0.07351297
3572695	0.07350071
3411405	0.07348964
3616170	0.07346092
3389954	0.07339676
3444218	0.07339439
3875906	0.073363304
1236944	0.073330075
3503954	0.0732152
3259355	0.07315889
3728529	0.07304734
3457600	0.073037766
3744738	0.07299727
3874625	0.07295314
2769357	0.07282708
3518712	0.072754905
2872582	0.07269747
2783047	0.0724843
3420620	0.0724476
3884874	0.0722513
3691259	0.0722388
3205748	0.07210254
2779365	0.072093435
2850842	0.072072566
3354470	0.072054125
3398654	0.07200444
2731044	0.07197482
2923171	0.07193084
3194782	0.071921244
2050141	0.071795225
3371495	0.0717649
3759076	0.071722105
3665065	0.071717806
2672467	0.07168887
3138412	0.071687356
